"region","division","state","estimate","year"
"West","Pacific","Alaska",1530,2023
"West","Mountain","Arizona",11940,2023
"West","Pacific","California",178450,2023
"West","Mountain","Colorado",24680,2023
"Northeast","New England","Connecticut",14530,2023
"South","South Atlantic","District of Columbia",9140,2023
"South","South Atlantic","Delaware",3460,2023
"South","South Atlantic","Florida",86310,2023
"South","South Atlantic","Georgia",32560,2023
"West","Pacific","Hawaii",3880,2023
"Midwest","West North Central","Iowa",3670,2023
"Midwest","East North Central","Illinois",90790,2023
"Midwest","East North Central","Indiana",4470,2023
"Midwest","West North Central","Kansas",17510,2023
"Northeast","New England","Massachusetts",21430,2023
"South","South Atlantic","Maryland",38430,2023
"Northeast","New England","Maine",2370,2023
"Midwest","East North Central","Michigan",36450,2023
"Midwest","West North Central","Minnesota",16280,2023
"West","Mountain","Montana",2190,2023
"South","South Atlantic","North Carolina",44810,2023
"Midwest","West North Central","Nebraska",2500,2023
"Northeast","New England","New Hampshire",2360,2023
"Northeast","Middle Atlantic","New Jersey",58440,2023
"West","Mountain","New Mexico",20940,2023
"West","Mountain","Nevada",15780,2023
"Northeast","Middle Atlantic","New York",131430,2023
"Midwest","East North Central","Ohio",23750,2023
"West","Pacific","Oregon",11650,2023
"Northeast","Middle Atlantic","Pennsylvania",36840,2023
"Northeast","New England","Rhode Island",2880,2023
"South","South Atlantic","South Carolina",8820,2023
"West","Mountain","Utah",4100,2023
"South","South Atlantic","Virginia",32890,2023
"Northeast","New England","Vermont",1470,2023
"West","Pacific","Washington",23860,2023
"West","Mountain","Wyoming",370,2023
"Midwest","East North Central","Wisconsin",860,2023
