"year","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
1988,20100,2700,22200,7860,311440,17550,24470,4570,13830,75820,35320,11120,2760,72500,20930,10480,7210,10090,17030,4140,41090,44260,62770,17400,6480,23940,2350,5490,9450,5940,66300,8180,179830,38120,1510,50780,12240,14850,53050,5800,16440,1420,20060,97450,4590,2920,40240,30890,4800,18580,1370
1992,17720,2800,21200,8690,303850,18410,20100,4620,11040,77320,39970,12180,2420,66500,21170,7480,7140,9850,11800,4260,39490,41610,54530,15090,8830,19870,2810,4950,12400,4490,58420,7780,191100,34000,1190,46190,9080,14620,50720,5830,14410,1340,19110,94590,3800,2160,38130,33620,4460,16280,1390
1996,14940,2310,20120,6680,237870,16670,16510,2970,5620,90160,35230,6930,2450,66920,18340,6150,6940,7890,13110,3390,36940,40150,47430,13950,9020,16050,2430,3930,14080,4670,64230,6560,164080,31070,1050,41320,8490,13540,42080,5290,12450,1200,16690,88250,3850,2050,32450,26960,3400,14980,1630
2000,13060,1900,18410,5880,235670,12950,15460,3920,5750,96000,32270,5630,2750,58370,15140,6280,6440,6720,11380,2910,38670,29870,45710,13940,9060,17410,2220,3920,12880,4020,66110,6890,161160,33620,940,38090,7780,15270,39670,4900,12120,1020,17270,87110,3500,1510,30690,26970,2930,12450,2090
2005,10840,2130,19710,5200,206260,14720,17340,4140,6390,85360,32040,5330,2540,48420,13180,6130,5620,6060,10330,2840,35250,27800,39930,13370,7930,14900,2020,2990,12990,3060,60330,6690,152340,29730,890,33140,7420,11900,38110,4680,13320,980,15520,84560,3610,1810,30590,23680,2700,10920,1220
2006,10980,2060,18850,5450,213550,14990,17580,4990,5900,86980,32690,5490,2700,48560,12810,6390,5670,6080,11220,2940,31990,27130,37530,13420,7880,15070,2070,2690,13320,3030,58030,7020,148030,29970,900,32880,7450,12150,39770,4550,13590,970,15550,82540,3780,1760,31670,24350,2880,10390,1200
2007,11130,2000,17990,5690,220840,15160,17730,5850,5400,88600,33680,5650,2860,48710,12440,6660,5720,6110,12520,3030,28720,26460,35780,13480,7850,15250,2110,2500,13630,2990,55740,7350,144390,30220,910,32620,7480,12410,42550,4420,13750,960,15590,80510,3940,1720,32750,25030,3070,9870,1170
2008,11020,1960,19770,5710,211930,14920,17210,5650,5880,86310,39370,5650,2580,51670,12300,6160,5670,6380,14110,2970,28390,25800,36050,12580,8210,15160,2040,2850,13020,2860,54730,6730,149070,29000,1010,32370,7500,11800,46670,4340,13200,970,16210,82690,3880,1730,31360,24670,2680,9660,1060
2009,10530,2040,17480,5630,200720,14330,16350,5520,4970,84150,37260,5590,2490,47020,12020,6010,4830,6170,12930,2830,29630,25240,33410,11780,7640,13550,2000,2630,12790,2840,51930,6420,144390,28340,1000,30760,7060,11020,44820,4100,13050,900,15290,81060,3690,1670,30950,23530,3070,9420,1030
2010,10030,2120,15190,5490,189110,13730,15480,5380,4060,82020,35160,5530,2410,42370,11600,5860,3990,5960,11750,2640,30890,24790,30770,11120,7070,11930,1980,2410,12570,2830,49130,6110,139700,27670,980,29140,6510,10250,42250,3850,12900,840,14370,78130,3470,1600,30550,22380,3460,9140,1010
2011,9600,2030,16270,5210,177360,13130,14630,4690,3400,79890,34460,5540,2340,42360,10710,5430,3870,5820,11310,2410,32140,24430,29270,10690,6700,11510,1990,2550,11960,2880,46670,5520,136280,25080,940,27930,5910,10020,39200,3690,11580,850,13670,72140,3240,1610,29160,21830,3320,8660,1060
2012,8920,1890,15040,5010,170420,12400,13900,4010,3570,76730,33620,4900,2090,42020,10200,4790,3910,5500,10470,2390,29610,22840,28780,10130,6280,11080,1820,2510,10750,2610,44680,4860,126630,25960,920,26200,5830,9310,36560,3410,11440,840,13210,69520,3210,1560,29510,20470,2800,8080,940
2013,8230,1740,13820,4810,163550,11660,13360,3340,3740,73560,32550,4260,1850,41430,9910,4150,3940,5180,9630,2380,27080,21250,28420,9570,5860,10610,1660,2440,9550,2340,43340,4190,116970,26850,900,24470,5760,8600,34580,3130,11300,830,12760,66910,3170,1490,29860,19100,2280,7510,820
2014,8310,1640,13240,4350,156690,11760,13280,3200,3800,72630,31120,3750,1790,40120,10130,3930,3800,5180,9620,2400,26430,21280,28130,9230,5540,9180,1520,2360,10840,2530,43990,4030,117580,26410,1020,23220,5210,8760,34230,3220,10940,810,12300,56400,2960,1380,24590,19150,2280,7430,850
2015,8150,1540,13640,3930,148000,11410,12770,3040,3330,69390,31750,3370,1780,38830,10190,3990,3660,4910,9830,2240,26010,20370,27290,9360,5300,9640,1530,2260,10150,2480,45680,4120,113350,24870,990,21980,4800,8950,34550,3290,10930,770,11770,55690,3010,1320,23290,18340,2380,7360,810
2016,7920,1450,14040,3590,139320,11050,12260,2880,2870,66150,32390,3130,1780,37590,10240,4050,3520,4640,10040,2080,25730,19470,26460,9590,5100,10100,1540,2170,9460,2410,47370,4210,108350,23320,960,20790,4550,9140,34870,3340,10920,730,11230,55100,3050,1260,21990,17530,2490,7310,770
2017,7660,1420,13270,3710,131380,11100,11950,2770,3930,68640,32520,3220,1790,37770,10270,3650,3520,4780,9280,2050,26940,18880,26130,10100,4930,9690,1510,2250,9620,2330,47010,3830,103060,25060,970,20560,4780,8950,33910,3280,11380,750,11060,56340,3020,1140,20290,17760,2380,7540,720
2020,9060,1320,13820,4510,152400,11830,11460,2870,5010,73830,36470,3120,2130,42250,10810,3510,4120,5690,7760,2370,29590,17460,30150,10380,5760,11710,1510,2020,10870,2150,48390,3950,105990,27030,960,21920,8330,8110,34950,2830,11830,680,10450,61500,3220,1100,23390,17910,1780,8290,700
2023,NA,1530,11940,NA,178450,24680,14530,3460,9140,86310,32560,3880,NA,90790,4470,3670,17510,NA,NA,2370,38430,21430,36450,16280,NA,NA,2190,2500,15780,2360,58440,20940,131430,44810,NA,23750,NA,11650,36840,2880,8820,NA,NA,NA,4100,1470,32890,23860,NA,860,370
